age,sexe,pays_origine,raison_voyage,provenance,destination,papiers_valides,casier_judiciaire,niveau_risque
58,Homme,Rwanda,Migration,Kinshasa,Luanda,1,0,Faible
23,Femme,Rwanda,Migration,Lubumbashi,Kananga,0,1,Élevé
51,Femme,Zambie,Affaires,Kisangani,Kinshasa,1,1,Moyen
69,Homme,Burundi,Tourisme,Lubumbashi,Kananga,1,1,Moyen
23,Femme,RDC,Transit,Kigali,Mbujimayi,1,1,Moyen
61,Femme,Ouganda,Migration,Lusaka,Tshikapa,0,0,Moyen
48,Homme,Ouganda,Études,Kisangani,Luanda,0,0,Moyen
58,Femme,Tanzanie,Transit,Lusaka,Kinshasa,0,0,Moyen
20,Homme,Rwanda,Migration,Kinshasa,Mbujimayi,0,0,Élevé
42,Femme,Rwanda,Études,Goma,Luanda,0,1,Élevé
59,Homme,Zambie,Migration,Kigali,Kinshasa,1,0,Faible
62,Femme,Angola,Migration,Goma,Kananga,1,0,Faible
61,Femme,Ouganda,Transit,Kinshasa,Kinshasa,1,0,Faible
25,Femme,RDC,Affaires,Lusaka,Nairobi,0,0,Moyen
68,Femme,Angola,Affaires,Kigali,Kananga,0,0,Moyen
55,Homme,Zambie,Affaires,Kisangani,Kananga,0,1,Élevé
27,Homme,Ouganda,Transit,Lubumbashi,Mbujimayi,0,0,Moyen
18,Femme,Zambie,Affaires,Kigali,Tshikapa,0,0,Moyen
34,Homme,Angola,Migration,Kigali,Mbujimayi,0,1,Élevé
46,Femme,Ouganda,Études,Kinshasa,Kinshasa,0,0,Moyen
64,Femme,Burundi,Tourisme,Kinshasa,Kinshasa,1,1,Moyen
61,Homme,Burundi,Migration,Kinshasa,Mbujimayi,1,0,Faible
22,Homme,Rwanda,Études,Lusaka,Luanda,1,1,Moyen
56,Femme,Burundi,Études,Kigali,Kinshasa,0,0,Moyen
59,Homme,Burundi,Migration,Lubumbashi,Kinshasa,1,1,Moyen
43,Femme,Tanzanie,Tourisme,Kisangani,Kinshasa,1,1,Moyen
41,Homme,Tanzanie,Migration,Kinshasa,Mbujimayi,0,0,Moyen
45,Homme,Tanzanie,Transit,Lubumbashi,Luanda,0,1,Élevé
60,Homme,Burundi,Transit,Lusaka,Kinshasa,0,1,Élevé
56,Femme,Rwanda,Tourisme,Kigali,Luanda,0,0,Moyen
60,Femme,Angola,Tourisme,Kisangani,Luanda,1,0,Faible
66,Femme,Ouganda,Affaires,Goma,Luanda,0,1,Élevé
19,Homme,Rwanda,Transit,Kisangani,Tshikapa,0,0,Moyen
27,Femme,RDC,Affaires,Lusaka,Nairobi,0,0,Moyen
65,Homme,Burundi,Migration,Goma,Tshikapa,0,1,Élevé
37,Femme,Zambie,Études,Kigali,Mbujimayi,0,0,Moyen
28,Homme,Tanzanie,Tourisme,Kisangani,Kinshasa,1,1,Moyen
56,Femme,Burundi,Transit,Lubumbashi,Luanda,0,1,Élevé
45,Homme,Rwanda,Études,Goma,Luanda,1,0,Faible
32,Femme,Ouganda,Tourisme,Kinshasa,Kananga,1,0,Faible
67,Homme,Zambie,Transit,Kisangani,Tshikapa,0,0,Moyen
49,Femme,Angola,Affaires,Goma,Luanda,0,1,Élevé
22,Femme,Zambie,Tourisme,Goma,Mbujimayi,1,0,Faible
38,Femme,Ouganda,Migration,Lusaka,Nairobi,1,1,Moyen
25,Femme,RDC,Transit,Lubumbashi,Luanda,1,1,Moyen
23,Femme,Zambie,Tourisme,Lubumbashi,Kinshasa,1,0,Faible
43,Femme,Tanzanie,Transit,Lubumbashi,Tshikapa,0,0,Moyen
50,Homme,Ouganda,Études,Lubumbashi,Tshikapa,1,0,Faible
33,Homme,Angola,Transit,Lubumbashi,Kananga,0,0,Moyen
29,Femme,Burundi,Études,Kigali,Kinshasa,1,1,Moyen
27,Femme,RDC,Migration,Goma,Nairobi,1,1,Moyen
55,Homme,Rwanda,Études,Kinshasa,Tshikapa,1,1,Moyen
20,Homme,Rwanda,Transit,Kinshasa,Nairobi,0,1,Élevé
47,Homme,Burundi,Études,Lusaka,Kananga,1,1,Moyen
50,Homme,RDC,Migration,Kinshasa,Tshikapa,0,0,Moyen
20,Homme,Tanzanie,Migration,Goma,Luanda,0,1,Élevé
41,Femme,Burundi,Migration,Kisangani,Nairobi,0,1,Élevé
22,Femme,RDC,Études,Lusaka,Kinshasa,1,1,Moyen
64,Homme,Rwanda,Tourisme,Kigali,Nairobi,0,1,Élevé
37,Femme,Angola,Études,Lusaka,Mbujimayi,1,1,Moyen
59,Femme,Zambie,Affaires,Lusaka,Nairobi,0,1,Élevé
50,Femme,RDC,Transit,Kisangani,Kananga,0,1,Élevé
67,Femme,Angola,Affaires,Lubumbashi,Kananga,0,1,Élevé
68,Homme,Ouganda,Études,Lusaka,Luanda,0,1,Élevé
67,Homme,Ouganda,Migration,Lubumbashi,Kananga,0,0,Moyen
64,Femme,RDC,Migration,Kisangani,Nairobi,0,1,Élevé
57,Femme,Zambie,Migration,Lubumbashi,Luanda,0,1,Élevé
69,Femme,Zambie,Affaires,Kisangani,Nairobi,1,1,Moyen
67,Femme,Zambie,Migration,Kigali,Luanda,1,0,Faible
70,Homme,Zambie,Études,Lubumbashi,Tshikapa,0,1,Élevé
41,Homme,Tanzanie,Études,Kinshasa,Tshikapa,0,0,Moyen
35,Femme,Ouganda,Affaires,Goma,Mbujimayi,0,1,Élevé
40,Homme,Burundi,Tourisme,Goma,Luanda,1,0,Faible
42,Homme,Rwanda,Affaires,Kinshasa,Tshikapa,0,1,Élevé
68,Homme,Angola,Tourisme,Kisangani,Kinshasa,0,1,Élevé
46,Homme,RDC,Tourisme,Kisangani,Kananga,0,1,Élevé
25,Femme,Angola,Transit,Kinshasa,Mbujimayi,0,1,Élevé
58,Femme,RDC,Tourisme,Goma,Luanda,0,0,Moyen
63,Homme,Rwanda,Migration,Kinshasa,Luanda,1,0,Faible
54,Femme,Angola,Tourisme,Kigali,Tshikapa,0,0,Moyen
42,Femme,RDC,Migration,Kisangani,Tshikapa,0,1,Élevé
68,Homme,Rwanda,Affaires,Lusaka,Nairobi,0,1,Élevé
26,Homme,Rwanda,Études,Kisangani,Nairobi,0,1,Élevé
62,Femme,Tanzanie,Affaires,Lubumbashi,Mbujimayi,1,0,Faible
36,Homme,RDC,Affaires,Kinshasa,Tshikapa,1,1,Moyen
70,Femme,Rwanda,Tourisme,Lusaka,Kananga,1,1,Moyen
67,Homme,Zambie,Transit,Kisangani,Mbujimayi,1,1,Moyen
43,Femme,Burundi,Transit,Lubumbashi,Kinshasa,1,1,Moyen
69,Femme,Zambie,Tourisme,Lusaka,Kinshasa,0,1,Élevé
56,Homme,Ouganda,Transit,Kisangani,Mbujimayi,0,1,Élevé
60,Femme,Rwanda,Migration,Kigali,Nairobi,1,0,Faible
62,Femme,Rwanda,Migration,Kinshasa,Nairobi,1,1,Moyen
35,Homme,RDC,Migration,Kisangani,Luanda,0,0,Moyen
27,Femme,RDC,Affaires,Kinshasa,Kananga,1,1,Moyen
42,Homme,Ouganda,Affaires,Lusaka,Kinshasa,1,1,Moyen
46,Homme,Ouganda,Affaires,Kigali,Tshikapa,1,1,Moyen
59,Femme,Angola,Tourisme,Kinshasa,Nairobi,0,1,Élevé
51,Femme,Ouganda,Tourisme,Kisangani,Tshikapa,1,0,Faible
57,Femme,Tanzanie,Migration,Lubumbashi,Mbujimayi,0,0,Moyen
46,Homme,Tanzanie,Migration,Kinshasa,Nairobi,1,1,Moyen
63,Homme,Ouganda,Études,Kisangani,Tshikapa,0,0,Moyen
68,Femme,Ouganda,Affaires,Kinshasa,Kananga,0,0,Moyen
68,Femme,RDC,Transit,Kigali,Luanda,1,1,Moyen
69,Homme,Ouganda,Tourisme,Kinshasa,Tshikapa,1,1,Moyen
51,Femme,Zambie,Migration,Kigali,Mbujimayi,0,1,Élevé
59,Homme,Burundi,Migration,Lusaka,Luanda,1,0,Faible
67,Homme,Zambie,Affaires,Goma,Luanda,0,0,Moyen
51,Homme,Rwanda,Affaires,Lubumbashi,Tshikapa,0,1,Élevé
51,Femme,Zambie,Tourisme,Kisangani,Kananga,1,0,Faible
58,Femme,Ouganda,Études,Kinshasa,Luanda,0,0,Moyen
28,Femme,Zambie,Études,Kinshasa,Mbujimayi,0,0,Moyen
59,Femme,Tanzanie,Affaires,Kigali,Kinshasa,0,1,Élevé
58,Femme,Tanzanie,Transit,Goma,Kananga,1,1,Moyen
47,Homme,Tanzanie,Tourisme,Lubumbashi,Kinshasa,1,1,Moyen
47,Homme,Rwanda,Études,Lubumbashi,Tshikapa,1,1,Moyen
43,Homme,Zambie,Transit,Kigali,Luanda,0,1,Élevé
33,Femme,RDC,Transit,Goma,Kananga,0,0,Moyen
21,Femme,Burundi,Études,Goma,Kananga,0,1,Élevé
54,Femme,Angola,Affaires,Goma,Luanda,1,1,Moyen
37,Femme,RDC,Tourisme,Goma,Luanda,1,0,Faible
31,Femme,RDC,Tourisme,Kisangani,Kinshasa,1,1,Moyen
52,Homme,Zambie,Tourisme,Goma,Kananga,1,1,Moyen
66,Femme,Rwanda,Tourisme,Goma,Mbujimayi,0,1,Élevé
53,Femme,RDC,Migration,Kigali,Kinshasa,1,0,Faible
26,Homme,Burundi,Transit,Kisangani,Luanda,1,0,Faible
30,Femme,Ouganda,Tourisme,Kinshasa,Mbujimayi,0,1,Élevé
69,Femme,Ouganda,Migration,Lubumbashi,Luanda,0,1,Élevé
57,Femme,Angola,Migration,Kigali,Nairobi,1,1,Moyen
50,Femme,Tanzanie,Études,Kisangani,Kinshasa,0,1,Élevé
39,Homme,Burundi,Études,Kisangani,Nairobi,0,1,Élevé
34,Homme,Tanzanie,Tourisme,Kigali,Kinshasa,0,1,Élevé
27,Homme,RDC,Études,Lusaka,Mbujimayi,0,0,Moyen
46,Femme,Burundi,Affaires,Goma,Nairobi,0,1,Élevé
50,Femme,Zambie,Tourisme,Lusaka,Kananga,0,1,Élevé
60,Femme,Ouganda,Migration,Kisangani,Kananga,1,1,Moyen
52,Femme,Tanzanie,Transit,Kigali,Kinshasa,0,0,Moyen
35,Femme,Angola,Transit,Kisangani,Nairobi,0,1,Élevé
38,Femme,Rwanda,Études,Lusaka,Tshikapa,1,0,Faible
54,Femme,Burundi,Transit,Lubumbashi,Tshikapa,0,1,Élevé
63,Homme,Rwanda,Migration,Lusaka,Tshikapa,1,0,Faible
30,Femme,Ouganda,Transit,Lubumbashi,Mbujimayi,0,0,Moyen
21,Homme,Tanzanie,Affaires,Kinshasa,Mbujimayi,1,1,Moyen
63,Femme,RDC,Affaires,Kinshasa,Luanda,0,1,Élevé
59,Femme,Burundi,Affaires,Kisangani,Tshikapa,1,0,Faible
67,Homme,Tanzanie,Études,Lubumbashi,Luanda,0,0,Moyen
44,Homme,RDC,Migration,Goma,Kananga,1,0,Faible
18,Femme,Ouganda,Études,Kinshasa,Tshikapa,1,1,Moyen
59,Femme,Angola,Études,Goma,Tshikapa,0,0,Moyen
39,Homme,Tanzanie,Migration,Lusaka,Tshikapa,0,0,Moyen
65,Femme,Zambie,Transit,Kigali,Nairobi,0,0,Moyen
57,Femme,Zambie,Migration,Kigali,Tshikapa,0,1,Élevé
60,Homme,Angola,Affaires,Goma,Tshikapa,0,0,Moyen
34,Femme,Angola,Migration,Kisangani,Tshikapa,1,0,Faible
34,Femme,Tanzanie,Affaires,Kinshasa,Nairobi,0,1,Élevé
37,Homme,Burundi,Études,Lusaka,Tshikapa,0,1,Élevé
41,Homme,Angola,Affaires,Goma,Kananga,1,1,Moyen
44,Femme,Zambie,Études,Lusaka,Kananga,0,0,Moyen
51,Femme,Ouganda,Transit,Kinshasa,Luanda,0,0,Moyen
53,Homme,Ouganda,Études,Lubumbashi,Kananga,1,1,Moyen
25,Homme,Tanzanie,Études,Goma,Mbujimayi,1,0,Faible
47,Homme,Ouganda,Migration,Goma,Luanda,0,1,Élevé
61,Femme,Tanzanie,Tourisme,Goma,Tshikapa,0,0,Moyen
55,Homme,RDC,Migration,Kisangani,Nairobi,0,0,Moyen
22,Femme,RDC,Transit,Goma,Kananga,0,1,Élevé
41,Femme,Burundi,Migration,Goma,Mbujimayi,0,1,Élevé
25,Homme,Ouganda,Migration,Kigali,Kananga,0,0,Moyen
66,Homme,Rwanda,Migration,Lusaka,Nairobi,1,1,Moyen
70,Homme,Angola,Migration,Kisangani,Kananga,1,0,Faible
64,Homme,RDC,Migration,Kigali,Mbujimayi,0,0,Moyen
22,Homme,Ouganda,Tourisme,Goma,Luanda,0,0,Moyen
65,Homme,Burundi,Migration,Lubumbashi,Luanda,0,0,Moyen
26,Femme,Angola,Études,Kisangani,Luanda,1,0,Faible
37,Homme,Tanzanie,Études,Lubumbashi,Kinshasa,1,1,Moyen
21,Homme,Tanzanie,Migration,Kigali,Kinshasa,0,1,Élevé
59,Femme,Zambie,Études,Kisangani,Nairobi,1,1,Moyen
27,Femme,Burundi,Affaires,Kigali,Kinshasa,0,0,Moyen
37,Homme,Zambie,Migration,Kinshasa,Luanda,1,1,Moyen
53,Homme,Burundi,Affaires,Kisangani,Kananga,1,0,Faible
46,Femme,RDC,Études,Lusaka,Kananga,0,1,Élevé
42,Homme,Zambie,Tourisme,Lubumbashi,Luanda,0,1,Élevé
31,Femme,Rwanda,Tourisme,Lubumbashi,Kananga,0,1,Élevé
33,Homme,Burundi,Affaires,Kigali,Tshikapa,1,1,Moyen
47,Femme,Rwanda,Transit,Kisangani,Luanda,1,1,Moyen
24,Femme,Zambie,Transit,Lubumbashi,Tshikapa,1,1,Moyen
20,Homme,Tanzanie,Affaires,Kinshasa,Tshikapa,1,1,Moyen
27,Homme,Rwanda,Affaires,Goma,Luanda,0,1,Élevé
53,Femme,Rwanda,Migration,Lusaka,Nairobi,1,1,Moyen
28,Femme,Angola,Affaires,Lusaka,Luanda,1,0,Faible
52,Homme,Ouganda,Tourisme,Kinshasa,Nairobi,0,0,Moyen
44,Homme,Zambie,Affaires,Kinshasa,Nairobi,0,0,Moyen
31,Femme,Rwanda,Tourisme,Kigali,Nairobi,1,1,Moyen
19,Homme,Ouganda,Études,Goma,Mbujimayi,0,1,Élevé
52,Femme,RDC,Études,Lusaka,Nairobi,1,0,Faible
24,Homme,Ouganda,Affaires,Lubumbashi,Kananga,1,1,Moyen
35,Femme,RDC,Transit,Goma,Kinshasa,0,0,Moyen
37,Homme,Tanzanie,Tourisme,Kinshasa,Kinshasa,1,1,Moyen
53,Femme,RDC,Tourisme,Lusaka,Kananga,0,1,Élevé
45,Femme,Ouganda,Tourisme,Kigali,Mbujimayi,0,0,Moyen
62,Femme,Rwanda,Tourisme,Kinshasa,Nairobi,1,0,Faible
29,Femme,RDC,Affaires,Kigali,Kananga,1,0,Faible
37,Homme,Ouganda,Affaires,Kigali,Kinshasa,1,1,Moyen
66,Homme,Zambie,Tourisme,Kigali,Nairobi,1,0,Faible
24,Femme,Angola,Tourisme,Kisangani,Luanda,1,1,Moyen
19,Femme,Zambie,Migration,Goma,Kananga,1,1,Élevé
45,Homme,Tanzanie,Études,Lusaka,Kinshasa,0,1,Élevé
69,Homme,Tanzanie,Tourisme,Kinshasa,Tshikapa,0,1,Élevé
63,Homme,Tanzanie,Migration,Kisangani,Tshikapa,0,0,Moyen
18,Femme,Burundi,Transit,Kisangani,Mbujimayi,0,0,Moyen
29,Femme,Burundi,Études,Kigali,Luanda,1,0,Faible
19,Homme,Rwanda,Études,Kinshasa,Luanda,1,1,Moyen
18,Femme,Burundi,Migration,Kinshasa,Nairobi,0,0,Élevé
61,Femme,Angola,Affaires,Kisangani,Tshikapa,1,1,Moyen
27,Homme,Angola,Migration,Kisangani,Kinshasa,1,1,Moyen
68,Homme,Rwanda,Transit,Lubumbashi,Nairobi,1,0,Faible
47,Homme,Angola,Transit,Kinshasa,Kinshasa,1,1,Moyen
69,Femme,Burundi,Transit,Goma,Nairobi,0,1,Élevé
38,Homme,Burundi,Transit,Lubumbashi,Kinshasa,1,1,Moyen
65,Femme,Ouganda,Affaires,Kisangani,Kinshasa,1,1,Moyen
41,Homme,Ouganda,Affaires,Kigali,Luanda,0,0,Moyen
64,Femme,Tanzanie,Affaires,Goma,Tshikapa,0,1,Élevé
61,Femme,Angola,Transit,Lubumbashi,Tshikapa,0,1,Élevé
68,Femme,RDC,Migration,Kigali,Kinshasa,1,1,Moyen
52,Homme,Zambie,Transit,Lusaka,Luanda,0,0,Moyen
67,Homme,Tanzanie,Transit,Lubumbashi,Nairobi,0,1,Élevé
66,Femme,Zambie,Migration,Kinshasa,Mbujimayi,0,1,Élevé
32,Homme,Burundi,Transit,Goma,Kinshasa,0,1,Élevé
19,Femme,RDC,Transit,Goma,Mbujimayi,0,0,Moyen
40,Femme,Rwanda,Migration,Lubumbashi,Luanda,1,1,Moyen
48,Homme,Burundi,Migration,Kisangani,Mbujimayi,1,0,Faible
69,Homme,RDC,Transit,Lusaka,Mbujimayi,0,0,Moyen
51,Homme,Ouganda,Affaires,Kisangani,Luanda,1,1,Moyen
